Species,Category,Scheme,Rating,Region,Start,End
Bittern,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Black redstart,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Black-necked grebe,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Black-throated diver,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Brent goose,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Bullfinch,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Cattle egret,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Common redstart,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Common whitethroat,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Crane,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Dartford warbler,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Dipper,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Dunnock,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Eider,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
European storm-petrel,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Gadwall,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Gannet,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Garganey,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Great northern diver,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Great white egret,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Grey wagtail,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Greylag goose,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Honey-buzzard,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Common Kestrel,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Lapland bunting,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Little bittern,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Mallard,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Manx shearwater,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Marsh harrier,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Meadow pipit,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Moorhen,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Nightjar,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Northern fulmar,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Osprey,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Parrot crossbill,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Pied flycatcher,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Pink-footed goose,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Pintail,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Quail,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Red-breasted merganser,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Redwing,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Reed bunting,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Rook,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Scottish crossbill,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Sedge warbler,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Shelduck,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Shorelark,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Short-toed treecreeper,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Shoveler,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Snow bunting,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Song thrush,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Sparrowhawk,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Spoonbill,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Spotted crake,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Stock dove,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Tawny owl,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Teal,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Water pipit,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Wheatear,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
White-tailed eagle,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Whooper swan,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Wigeon,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Willow warbler,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Woodpigeon,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Wren,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Yellow-browed warbler,Birds,BOCC5,Amber,United Kingdom,01/12/2021,
Black tern ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Golden oriole,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Great auk ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Great bustard ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Kentish plover ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Serin ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Snowy owl ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Temminck's stint ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
Wryneck ,Birds,BOCC5,Former Breeder,United Kingdom,01/12/2021,
